lang,source
en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
et,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"
en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
en,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>"
und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
en,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>"
en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
en,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>"
en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
en,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>"
en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
